Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel
933.02,97,Medium,10-09-2020,4,Yogurt,Dodla Dairy,739.41,81.51,60269.3091,Refrigerated,07-09-2020,05-10-2020,630,86.24,54331.2,Kerala,Online
708.56,94,Large,07-05-2022,1,Milk,Mother Dairy,897.29,47,42172.63,Polythene Packet,10-03-2022,11-03-2022,120,45.74,5488.8,Madhya Pradesh,Online
936.27,59,Small,15-11-2019,6,Curd,Mother Dairy,471.82,44.59,21038.4538,Refrigerated,13-11-2019,18-11-2019,369,43.92,16206.48,Uttar Pradesh,Online
293.43,35,Medium,08-03-2019,2,Butter,Parag Milk Foods,839.04,73.1,61333.824,Frozen,12-02-2019,09-03-2019,490,75.14,36818.6,Gujarat,Online
105.81,12,Medium,15-07-2020,6,Curd,Sudha,78.09,85.93,6710.2737,Refrigerated,26-05-2020,01-06-2020,73,81.93,5980.89,Chandigarh,Online
327.49,32,Medium,24-09-2020,4,Yogurt,Palle2patnam,358.06,39.69,14211.4014,Frozen,23-09-2020,18-10-2020,300,39.86,11958,Telangana,Wholesale
689.88,21,Small,04-03-2021,3,Cheese,Dynamix Dairies,933.08,66.08,61657.9264,Frozen,21-01-2021,02-03-2021,106,62.13,6585.78,Gujarat,Online
695.28,39,Medium,28-10-2021,4,Yogurt,Palle2patnam,764.02,34.1,26053.082,Frozen,13-10-2021,07-11-2021,516,31.67,16341.72,Kerala,Online
769.87,29,Medium,07-11-2022,6,Curd,Raj,506.35,31.99,16198.1365,Refrigerated,21-09-2022,26-09-2022,407,30.29,12328.03,Chandigarh,Retail
781.13,39,Medium,18-02-2019,6,Curd,Amul,45.59,98,4467.82,Refrigerated,30-01-2019,04-02-2019,8,100.84,806.72,Telangana,Wholesale
434.68,89,Large,16-02-2021,1,Milk,Sudha,829.62,30.35,25178.967,Tetra Pack,01-01-2021,31-01-2021,324,28.85,9347.4,Jharkhand,Retail
535.05,69,Large,05-10-2022,4,Yogurt,Mother Dairy,332.15,13.54,4497.311,Frozen,20-09-2022,14-10-2022,57,10.74,612.18,West Bengal,Wholesale
934.86,53,Small,23-07-2022,9,Paneer,Sudha,976.64,53.25,52006.08,Refrigerated,14-06-2022,25-06-2022,949,51.11,48503.39,Maharashtra,Online
494.15,65,Medium,20-01-2020,8,Buttermilk,Raj,985.48,75.29,74196.7892,Refrigerated,04-12-2019,13-12-2019,288,76.96,22164.48,Uttar Pradesh,Wholesale
363.91,75,Small,27-02-2020,5,Ice Cream,Dodla Dairy,124.55,64.46,8028.493,Frozen,21-02-2020,15-03-2020,90,65.59,5903.1,Uttar Pradesh,Wholesale
528.65,41,Medium,02-11-2019,1,Milk,Raj,127.76,52.24,6674.1824,Tetra Pack,03-09-2019,01-10-2019,61,53.2,3245.2,Jharkhand,Wholesale
977.9,64,Large,24-07-2022,6,Curd,Raj,616.79,90.02,55523.4358,Refrigerated,17-07-2022,22-07-2022,144,94,13536,Chandigarh,Retail
68.84,95,Large,09-10-2019,1,Milk,Sudha,659.02,53.89,35514.5878,Polythene Packet,27-09-2019,29-09-2019,511,58.81,30051.91,Tamil Nadu,Online
17.89,82,Small,08-05-2022,2,Butter,Mother Dairy,908.96,81.67,74234.7632,Frozen,17-03-2022,15-04-2022,787,81.72,64313.64,Telangana,Retail
173.54,67,Small,13-04-2022,7,Lassi,Raj,178.25,27.37,4878.7025,Refrigerated,11-03-2022,27-03-2022,123,31.42,3864.66,West Bengal,Wholesale
591.8,56,Small,27-09-2022,9,Paneer,Raj,988.32,93.02,91933.5264,Refrigerated,26-08-2022,03-09-2022,899,94.59,85036.41,Maharashtra,Wholesale
550.09,90,Large,17-01-2019,4,Yogurt,Palle2patnam,597.28,45.62,27247.9136,Refrigerated,05-12-2018,04-01-2019,52,41.39,2152.28,Bihar,Wholesale
591.94,14,Large,04-06-2020,5,Ice Cream,Palle2patnam,377.88,40.63,15353.2644,Frozen,29-05-2020,22-06-2020,137,36.08,4942.96,Delhi,Online
177.27,27,Large,08-11-2019,8,Buttermilk,Raj,474.67,47.88,22727.1996,Refrigerated,29-10-2019,10-11-2019,221,44,9724,Delhi,Online
521.6,87,Small,24-03-2020,9,Paneer,Sudha,624.84,35.29,22050.6036,Refrigerated,08-02-2020,17-02-2020,366,38.27,14006.82,Uttar Pradesh,Wholesale
436.48,55,Medium,02-04-2022,9,Paneer,Sudha,143.48,84.68,12149.8864,Refrigerated,26-02-2022,06-03-2022,34,82.92,2819.28,Maharashtra,Wholesale
138.34,42,Large,24-10-2019,5,Ice Cream,Mother Dairy,752.39,70.52,53058.5428,Frozen,17-10-2019,16-11-2019,495,67.94,33630.3,Gujarat,Wholesale
505.8,35,Large,02-12-2019,6,Curd,Mother Dairy,877.14,26.87,23568.7518,Refrigerated,27-11-2019,04-12-2019,485,22.78,11048.3,Tamil Nadu,Retail
93.22,31,Medium,10-08-2022,5,Ice Cream,Palle2patnam,340.62,65.71,22382.1402,Frozen,13-07-2022,10-08-2022,42,61.83,2596.86,Rajasthan,Online
536.2,97,Medium,14-07-2022,6,Curd,Raj,310.76,46.24,14369.5424,Refrigerated,10-07-2022,15-07-2022,278,41.98,11670.44,Delhi,Wholesale
238.1,10,Medium,14-11-2020,3,Cheese,Britannia Industries,603.3,78.68,47467.644,Frozen,06-10-2020,01-11-2020,455,81.2,36946,Haryana,Wholesale
848.75,58,Small,28-09-2019,7,Lassi,Mother Dairy,503.77,69.95,35238.7115,Refrigerated,20-08-2019,04-09-2019,282,73.59,20752.38,Karnataka,Online
390.11,27,Medium,15-11-2019,7,Lassi,Amul,235.01,65.57,15409.6057,Refrigerated,27-09-2019,13-10-2019,142,68.12,9673.04,Tamil Nadu,Wholesale
576.9,41,Large,07-07-2019,10,Ghee,Amul,97.03,32.13,3117.5739,Ambient,21-06-2019,12-10-2019,58,32.97,1912.26,Bihar,Online
846.82,42,Medium,06-01-2019,8,Buttermilk,Amul,152.8,61.52,9400.256,Refrigerated,11-11-2018,20-11-2018,111,57.76,6411.36,West Bengal,Wholesale
384.85,46,Small,19-02-2021,1,Milk,Amul,492.94,14.94,7364.5236,Polythene Packet,24-01-2021,25-01-2021,21,12.06,253.26,Haryana,Wholesale
980.28,98,Medium,21-05-2022,1,Milk,Mother Dairy,850.28,16.54,14063.6312,Polythene Packet,18-04-2022,19-04-2022,90,18.71,1683.9,Telangana,Wholesale
353.43,21,Small,19-08-2022,9,Paneer,Mother Dairy,297.89,82.85,24680.1865,Refrigerated,07-08-2022,20-08-2022,2,81.18,162.36,Maharashtra,Online
408.05,21,Large,10-03-2021,3,Cheese,Passion Cheese,846.54,35.34,29916.7236,Refrigerated,15-02-2021,21-03-2021,117,36.52,4272.84,Haryana,Retail
82.84,90,Large,19-07-2020,10,Ghee,Sudha,680.47,85.47,58159.7709,Ambient,23-06-2020,21-10-2020,203,87.38,17738.14,Tamil Nadu,Retail
340.74,10,Large,09-09-2020,7,Lassi,Mother Dairy,259.16,35.96,9319.3936,Refrigerated,11-08-2020,25-08-2020,129,39.15,5050.35,Madhya Pradesh,Wholesale
281.71,86,Medium,06-04-2019,3,Cheese,Britannia Industries,752.32,11.21,8433.5072,Frozen,05-03-2019,05-05-2019,310,8.43,2613.3,Jharkhand,Retail
484.68,84,Medium,08-02-2019,9,Paneer,Sudha,759.31,13.43,10197.5333,Refrigerated,20-12-2018,29-12-2018,381,9.37,3569.97,Tamil Nadu,Wholesale
861.6,19,Large,27-10-2022,3,Cheese,Dynamix Dairies,620.08,50.32,31202.4256,Refrigerated,12-10-2022,18-11-2022,341,50.23,17128.43,West Bengal,Wholesale
741.05,40,Small,15-11-2020,2,Butter,Warana,798.33,40.67,32468.0811,Refrigerated,19-10-2020,28-11-2020,137,40.19,5506.03,Gujarat,Retail
611.21,27,Small,05-07-2021,9,Paneer,Mother Dairy,21.93,32.93,722.1549,Refrigerated,28-05-2021,07-06-2021,14,28.04,392.56,Uttar Pradesh,Retail
408.9,71,Medium,25-05-2019,8,Buttermilk,Mother Dairy,129.45,65.45,8472.5025,Refrigerated,10-04-2019,24-04-2019,48,66.03,3169.44,Haryana,Online
444.53,70,Small,15-12-2019,10,Ghee,Amul,724.59,83.59,60568.4781,Ambient,24-11-2019,21-02-2020,520,83.23,43279.6,Maharashtra,Wholesale
850.21,89,Small,21-08-2020,7,Lassi,Mother Dairy,16.25,63.96,1039.35,Refrigerated,20-07-2020,06-08-2020,2,66.52,133.04,Gujarat,Online
612.62,74,Medium,04-01-2022,4,Yogurt,Mother Dairy,881.58,38.5,33940.83,Frozen,08-12-2021,04-01-2022,690,40.11,27675.9,Chandigarh,Retail
361.49,69,Large,11-04-2020,5,Ice Cream,Palle2patnam,638.55,71.06,45375.363,Frozen,06-04-2020,06-05-2020,165,71.44,11787.6,Tamil Nadu,Wholesale
598.46,86,Large,12-04-2020,10,Ghee,Mother Dairy,327.02,64.88,21217.0576,Ambient,31-03-2020,02-07-2020,237,59.91,14198.67,Uttar Pradesh,Wholesale
259.15,37,Medium,01-04-2021,4,Yogurt,Dodla Dairy,357.27,36.88,13176.1176,Frozen,20-02-2021,18-03-2021,77,38.84,2990.68,Chandigarh,Retail
274.4,90,Small,06-09-2022,2,Butter,Amul,928.75,59.92,55650.7,Frozen,05-08-2022,13-09-2022,601,62.99,37856.99,Karnataka,Retail
246.74,30,Small,19-10-2022,10,Ghee,Sudha,172.75,66.64,11512.06,Ambient,12-10-2022,11-01-2023,12,71.39,856.68,Uttar Pradesh,Online
634.73,93,Large,24-11-2019,5,Ice Cream,Amul,683.43,18.25,12472.5975,Frozen,28-10-2019,22-11-2019,244,19.58,4777.52,Madhya Pradesh,Retail
625.93,79,Medium,06-03-2019,10,Ghee,Mother Dairy,484.45,80.02,38765.689,Ambient,31-01-2019,24-06-2019,214,76.34,16336.76,Kerala,Online
471.12,65,Large,18-09-2022,8,Buttermilk,Raj,834.02,18.38,15329.2876,Refrigerated,06-09-2022,20-09-2022,439,19.25,8450.75,Telangana,Retail
870.4,68,Medium,10-02-2019,1,Milk,Sudha,849.59,48.31,41043.6929,Tetra Pack,14-12-2018,11-01-2019,70,47.96,3357.2,Delhi,Online
607.67,89,Large,08-10-2019,2,Butter,Mother Dairy,53.89,94.21,5076.9769,Refrigerated,17-08-2019,24-09-2019,9,92.84,835.56,Maharashtra,Online
292.75,76,Small,26-11-2019,1,Milk,Raj,230.26,94.44,21745.7544,Polythene Packet,28-09-2019,30-09-2019,60,95.76,5745.6,Kerala,Retail
59.76,39,Medium,26-06-2022,1,Milk,Amul,126.76,10.62,1346.1912,Polythene Packet,08-06-2022,09-06-2022,93,10,930,Tamil Nadu,Retail
471.06,59,Small,19-03-2021,4,Yogurt,Dodla Dairy,536.99,11.53,6191.4947,Frozen,06-03-2021,31-03-2021,462,14.48,6689.76,Delhi,Wholesale
26.28,78,Large,01-08-2019,6,Curd,Raj,125.9,56.31,7089.429,Refrigerated,22-06-2019,28-06-2019,17,53.33,906.61,Telangana,Retail
283.31,85,Large,27-05-2020,5,Ice Cream,Palle2patnam,393.74,78.43,30881.0282,Frozen,06-04-2020,05-05-2020,235,79.22,18616.7,Delhi,Wholesale
563.44,60,Small,27-06-2021,4,Yogurt,Mother Dairy,973.36,78.52,76428.2272,Refrigerated,12-06-2021,08-07-2021,502,75.31,37805.62,Telangana,Wholesale
929.02,72,Medium,10-02-2021,10,Ghee,Raj,791.27,88.69,70177.7363,Ambient,20-12-2020,04-03-2021,71,85.26,6053.46,Uttar Pradesh,Retail
966.78,60,Small,16-12-2022,8,Buttermilk,Raj,637.41,74.14,47257.5774,Refrigerated,01-11-2022,13-11-2022,309,70.77,21867.93,Jharkhand,Online
780.95,73,Medium,02-08-2019,9,Paneer,Amul,25.69,16.33,419.5177,Refrigerated,11-06-2019,23-06-2019,23,18.1,416.3,Telangana,Retail
608.39,83,Large,09-08-2021,7,Lassi,Amul,891.63,58.03,51741.2889,Refrigerated,23-06-2021,07-07-2021,257,59.66,15332.62,Chandigarh,Wholesale
617.94,43,Large,20-08-2019,1,Milk,Raj,828.94,17.69,14663.9486,Tetra Pack,09-08-2019,04-09-2019,556,19.74,10975.44,Madhya Pradesh,Wholesale
144.03,77,Medium,05-05-2021,1,Milk,Mother Dairy,200.93,82.22,16520.4646,Polythene Packet,21-04-2021,23-04-2021,192,79.69,15300.48,Kerala,Retail
695.77,13,Medium,02-02-2019,7,Lassi,Amul,270.82,27.73,7509.8386,Refrigerated,25-01-2019,07-02-2019,13,28.12,365.56,Karnataka,Online
351.21,41,Large,09-08-2021,4,Yogurt,Palle2patnam,234.95,57.14,13425.043,Frozen,22-07-2021,19-08-2021,73,52.67,3844.91,Bihar,Retail
357.74,59,Large,02-11-2020,3,Cheese,Passion Cheese,396.74,67.77,26887.0698,Refrigerated,03-10-2020,13-11-2020,37,66.37,2455.69,Kerala,Wholesale
269.51,21,Large,19-12-2019,4,Yogurt,Mother Dairy,441.02,79.32,34981.7064,Refrigerated,23-11-2019,19-12-2019,201,82.16,16514.16,Kerala,Wholesale
735.36,12,Small,09-01-2019,8,Buttermilk,Sudha,662.05,19.8,13108.59,Refrigerated,28-12-2018,08-01-2019,394,16.49,6497.06,Uttar Pradesh,Online
528.43,17,Small,13-07-2021,9,Paneer,Amul,843.28,95.52,80550.1056,Refrigerated,21-06-2021,29-06-2021,109,97.67,10646.03,Jharkhand,Wholesale
740.73,29,Small,10-01-2021,6,Curd,Mother Dairy,487.4,84.11,40995.214,Refrigerated,28-12-2020,02-01-2021,267,85.01,22697.67,Maharashtra,Retail
579.63,43,Large,18-10-2021,10,Ghee,Raj,986.41,18.91,18653.0131,Ambient,08-09-2021,08-11-2021,338,14.66,4955.08,Uttar Pradesh,Wholesale
854.57,93,Small,09-01-2019,6,Curd,Raj,575.27,92.01,52930.5927,Refrigerated,30-12-2018,04-01-2019,295,93.5,27582.5,Jharkhand,Online
158.95,79,Large,04-10-2019,3,Cheese,Amul,739.73,14.68,10859.2364,Refrigerated,12-08-2019,03-11-2019,435,19.27,8382.45,Uttar Pradesh,Wholesale
668.7,88,Large,25-02-2021,7,Lassi,Sudha,579.35,84.22,48792.857,Refrigerated,19-02-2021,03-03-2021,356,79.41,28269.96,Kerala,Online
846.18,19,Small,27-06-2020,8,Buttermilk,Mother Dairy,836.97,35.66,29846.3502,Refrigerated,05-06-2020,19-06-2020,268,33.14,8881.52,Gujarat,Online
117.35,74,Small,12-05-2022,3,Cheese,Dynamix Dairies,614,97.94,60135.16,Refrigerated,04-05-2022,11-07-2022,72,101.22,7287.84,Gujarat,Online
214.62,50,Small,25-04-2022,2,Butter,Parag Milk Foods,22.36,31.05,694.278,Frozen,17-03-2022,26-04-2022,19,30.48,579.12,Uttar Pradesh,Online
828.81,96,Small,22-06-2022,10,Ghee,Raj,368.41,74.86,27579.1726,Ambient,06-05-2022,23-08-2022,221,76.38,16879.98,Chandigarh,Online
820.38,54,Large,07-10-2020,9,Paneer,Raj,345.63,82.96,28673.4648,Refrigerated,14-09-2020,27-09-2020,96,81.05,7780.8,Uttar Pradesh,Online
900.76,24,Large,25-02-2021,3,Cheese,Passion Cheese,13.57,16.13,218.8841,Frozen,21-01-2021,31-03-2021,11,11.72,128.92,Rajasthan,Wholesale
733.47,25,Medium,22-11-2019,6,Curd,Sudha,260.77,47.95,12503.9215,Refrigerated,28-09-2019,05-10-2019,57,49.37,2814.09,Delhi,Online
653.14,38,Small,27-01-2019,10,Ghee,Raj,456.99,36.37,16620.7263,Ambient,21-12-2018,17-05-2019,9,40.53,364.77,Maharashtra,Online
919.23,58,Medium,07-07-2020,1,Milk,Mother Dairy,180.57,46.67,8427.2019,Tetra Pack,21-06-2020,18-07-2020,4,43.05,172.2,Uttar Pradesh,Wholesale
624.54,56,Large,11-09-2019,7,Lassi,Amul,593.01,69.61,41279.4261,Refrigerated,29-08-2019,15-09-2019,472,74.58,35201.76,Maharashtra,Retail
13.25,63,Small,08-11-2020,9,Paneer,Amul,157.64,40.54,6390.7256,Refrigerated,10-09-2020,21-09-2020,87,43.05,3745.35,Tamil Nadu,Wholesale
998.53,53,Small,02-05-2021,4,Yogurt,Amul,90.67,68.3,6192.761,Frozen,18-04-2021,16-05-2021,74,69.42,5137.08,Kerala,Retail
891.84,44,Large,21-05-2022,3,Cheese,Passion Cheese,594.37,79.49,47246.4713,Frozen,22-03-2022,23-04-2022,549,81.69,44847.81,Bihar,Retail
239.15,18,Small,27-06-2022,10,Ghee,Raj,86.52,57.49,4974.0348,Ambient,01-06-2022,21-08-2022,1,62.14,62.14,Delhi,Wholesale
707.83,98,Large,09-08-2022,6,Curd,Mother Dairy,912.98,63.81,58257.2538,Refrigerated,19-06-2022,24-06-2022,52,66.4,3452.8,Karnataka,Retail
848.44,19,Small,26-08-2020,4,Yogurt,Dodla Dairy,132.72,40.82,5417.6304,Refrigerated,06-07-2020,03-08-2020,35,41.27,1444.45,Uttar Pradesh,Online
116.31,60,Medium,06-06-2020,4,Yogurt,Mother Dairy,558.58,63.64,35548.0312,Refrigerated,16-04-2020,07-05-2020,5,68.44,342.2,Bihar,Online
707.69,21,Large,06-12-2020,5,Ice Cream,Amul,502.33,89.85,45134.3505,Frozen,10-10-2020,06-11-2020,244,90.71,22133.24,West Bengal,Wholesale
27.55,61,Small,11-08-2020,10,Ghee,Sudha,469.61,97.53,45801.0633,Ambient,18-07-2020,07-10-2020,78,92.77,7236.06,Bihar,Retail
561.2,71,Medium,25-06-2020,10,Ghee,Sudha,670.03,81.4,54540.442,Ambient,13-06-2020,26-10-2020,48,80.47,3862.56,West Bengal,Online
127.24,35,Large,20-11-2022,10,Ghee,Sudha,496.34,96.98,48135.0532,Ambient,21-10-2022,10-01-2023,245,98.77,24198.65,Rajasthan,Retail
475.91,53,Medium,16-09-2019,5,Ice Cream,Palle2patnam,875.37,27.14,23757.5418,Frozen,06-09-2019,01-10-2019,571,29.59,16895.89,Delhi,Retail
277.9,12,Medium,02-12-2022,8,Buttermilk,Mother Dairy,20.59,36.58,753.1822,Refrigerated,25-10-2022,04-11-2022,13,35.27,458.51,Rajasthan,Retail
115.97,43,Small,24-06-2019,2,Butter,Mother Dairy,703.18,49.97,35137.9046,Refrigerated,21-05-2019,30-06-2019,690,47.93,33071.7,Uttar Pradesh,Retail
753.02,54,Small,21-01-2019,4,Yogurt,Amul,443.71,44.87,19909.2677,Refrigerated,13-12-2018,10-01-2019,243,43.17,10490.31,West Bengal,Wholesale
993.92,87,Small,06-06-2019,4,Yogurt,Dodla Dairy,767.42,34.57,26529.7094,Frozen,17-05-2019,12-06-2019,552,33.07,18254.64,Jharkhand,Retail
539.14,13,Small,24-04-2019,10,Ghee,Sudha,334.56,98.39,32917.3584,Ambient,23-02-2019,20-06-2019,161,102.43,16491.23,Chandigarh,Retail
28.79,38,Large,23-08-2019,7,Lassi,Amul,788.91,27.38,21600.3558,Refrigerated,02-07-2019,14-07-2019,778,24.57,19115.46,Kerala,Retail
745.19,20,Small,24-07-2022,2,Butter,Warana,267.34,51.67,13813.4578,Frozen,27-05-2022,21-06-2022,241,53.19,12818.79,Rajasthan,Wholesale
816.07,28,Medium,01-05-2021,9,Paneer,Amul,171.16,71.61,12256.7676,Refrigerated,27-04-2021,07-05-2021,157,70.92,11134.44,Madhya Pradesh,Retail
681.03,99,Large,05-06-2020,9,Paneer,Mother Dairy,436.22,30.38,13252.3636,Refrigerated,18-04-2020,25-04-2020,38,33.93,1289.34,Jharkhand,Retail
11.48,57,Medium,01-08-2019,4,Yogurt,Amul,557.87,83.3,46470.571,Frozen,05-06-2019,01-07-2019,294,88.08,25895.52,Bihar,Online
972.07,98,Medium,06-09-2021,6,Curd,Sudha,901.88,36.3,32738.244,Refrigerated,29-08-2021,04-09-2021,737,39.92,29421.04,Uttar Pradesh,Retail
257.48,45,Large,04-09-2020,7,Lassi,Mother Dairy,799.33,45,35969.85,Refrigerated,18-08-2020,01-09-2020,590,46.63,27511.7,Telangana,Online
422.74,29,Small,14-11-2020,3,Cheese,Amul,602.97,71.2,42931.464,Refrigerated,17-10-2020,13-12-2020,426,68.55,29202.3,Maharashtra,Wholesale
651.8,65,Medium,02-03-2021,1,Milk,Mother Dairy,757.55,26.02,19711.451,Polythene Packet,07-02-2021,08-02-2021,476,30.97,14741.72,Haryana,Online
101.56,47,Large,10-09-2020,8,Buttermilk,Mother Dairy,728.45,73.85,53796.0325,Refrigerated,26-08-2020,03-09-2020,211,70.94,14968.34,Chandigarh,Online
685.54,84,Medium,01-04-2019,6,Curd,Sudha,273.05,85.59,23370.3495,Refrigerated,14-02-2019,20-02-2019,214,83.73,17918.22,Kerala,Online
379.46,14,Large,18-10-2019,1,Milk,Amul,538.15,76.31,41066.2265,Polythene Packet,08-09-2019,09-09-2019,449,73.32,32920.68,Madhya Pradesh,Online
823.03,26,Small,26-05-2020,6,Curd,Raj,352.68,28.69,10118.3892,Refrigerated,08-05-2020,15-05-2020,104,32.53,3383.12,West Bengal,Wholesale
463.37,39,Small,24-12-2021,6,Curd,Mother Dairy,812.38,51.91,42170.6458,Refrigerated,25-11-2021,30-11-2021,582,50.41,29338.62,Delhi,Wholesale
94.9,70,Large,20-09-2019,3,Cheese,Dynamix Dairies,676.08,25.15,17003.412,Frozen,19-09-2019,05-11-2019,649,20.17,13090.33,Haryana,Online
708.52,81,Small,26-03-2020,2,Butter,Parag Milk Foods,246.92,80.91,19978.2972,Frozen,30-01-2020,06-03-2020,19,84.25,1600.75,Karnataka,Retail
967.25,68,Large,02-03-2020,1,Milk,Mother Dairy,31.22,45.14,1409.2708,Tetra Pack,08-01-2020,06-02-2020,8,47.33,378.64,Kerala,Retail
201.81,31,Medium,07-05-2022,2,Butter,Parag Milk Foods,264.08,82.89,21889.5912,Frozen,01-04-2022,07-05-2022,108,85.23,9204.84,Haryana,Online
910.82,56,Large,10-05-2019,1,Milk,Mother Dairy,892.02,16.89,15066.2178,Polythene Packet,23-04-2019,24-04-2019,367,18.43,6763.81,Kerala,Wholesale
616.63,33,Large,18-01-2019,1,Milk,Amul,411.82,90.18,37137.9276,Tetra Pack,21-12-2018,20-01-2019,353,91.04,32137.12,Delhi,Wholesale
152.01,16,Large,07-05-2021,4,Yogurt,Amul,817.91,12.17,9953.9647,Refrigerated,04-04-2021,04-05-2021,738,13.68,10095.84,Maharashtra,Wholesale
686.86,54,Medium,02-12-2020,1,Milk,Mother Dairy,737.56,34.03,25099.1668,Polythene Packet,18-10-2020,20-10-2020,329,37.97,12492.13,Karnataka,Online
552.78,64,Small,07-01-2020,3,Cheese,Amul,843.26,31.26,26360.3076,Refrigerated,05-01-2020,24-02-2020,169,28.21,4767.49,Jharkhand,Online
816.36,51,Large,21-06-2021,1,Milk,Sudha,728.72,92.03,67064.1016,Polythene Packet,05-06-2021,06-06-2021,612,96.62,59131.44,Gujarat,Retail
771.23,43,Medium,07-04-2021,3,Cheese,Dynamix Dairies,18.63,41.98,782.0874,Refrigerated,06-02-2021,30-04-2021,15,39.4,591,Kerala,Wholesale
122.78,89,Medium,14-01-2019,3,Cheese,Amul,248.76,37.91,9430.4916,Frozen,12-01-2019,28-02-2019,167,39.67,6624.89,Bihar,Wholesale
893.99,91,Small,15-07-2022,2,Butter,Warana,617.34,46.31,28589.0154,Refrigerated,05-07-2022,09-08-2022,433,49,21217,Telangana,Wholesale
233.29,68,Medium,15-05-2022,2,Butter,Mother Dairy,98.62,14.19,1399.4178,Frozen,05-04-2022,09-05-2022,9,17.96,161.64,Madhya Pradesh,Wholesale
602.61,56,Medium,10-02-2020,3,Cheese,Britannia Industries,656.74,24.9,16352.826,Frozen,29-01-2020,02-03-2020,220,27.5,6050,Uttar Pradesh,Online
338.33,25,Medium,04-08-2021,8,Buttermilk,Mother Dairy,318.52,79.34,25271.3768,Refrigerated,14-06-2021,25-06-2021,180,75.28,13550.4,Kerala,Wholesale
492.95,47,Small,01-12-2021,10,Ghee,Amul,387.3,10.56,4089.888,Ambient,11-10-2021,06-02-2022,335,15.19,5088.65,Chandigarh,Retail
299.52,28,Medium,05-08-2019,1,Milk,Amul,631.86,22.25,14058.885,Tetra Pack,18-07-2019,09-08-2019,473,27.02,12780.46,Karnataka,Retail
532.31,55,Small,26-01-2022,1,Milk,Raj,611.23,90.62,55389.6626,Tetra Pack,03-01-2022,27-01-2022,218,91.17,19875.06,Tamil Nadu,Retail
643.81,25,Small,25-06-2022,9,Paneer,Raj,678.03,72.79,49353.8037,Refrigerated,08-05-2022,18-05-2022,282,72.4,20416.8,Gujarat,Online
545.79,25,Small,01-04-2021,9,Paneer,Raj,124.82,67.53,8429.0946,Refrigerated,09-03-2021,23-03-2021,101,68.87,6955.87,Delhi,Online
114.64,99,Small,04-07-2019,6,Curd,Raj,571.43,50.97,29125.7871,Refrigerated,15-06-2019,22-06-2019,523,50.92,26631.16,Bihar,Wholesale
64.51,44,Medium,03-06-2020,1,Milk,Raj,493.25,60.09,29639.3925,Polythene Packet,29-05-2020,30-05-2020,216,56.95,12301.2,Rajasthan,Online
307.08,67,Large,09-08-2022,2,Butter,Mother Dairy,479.57,98.28,47132.1396,Frozen,03-08-2022,09-09-2022,199,98.95,19691.05,Madhya Pradesh,Wholesale
97.79,36,Small,26-06-2022,8,Buttermilk,Raj,123.3,85.08,10490.364,Refrigerated,02-06-2022,09-06-2022,25,82.79,2069.75,Bihar,Online
570.3,73,Small,11-06-2019,8,Buttermilk,Amul,749.32,38.62,28938.7384,Refrigerated,08-06-2019,15-06-2019,552,33.72,18613.44,Telangana,Retail
612.17,53,Large,05-08-2019,7,Lassi,Raj,644.91,78.79,50812.4589,Refrigerated,06-07-2019,20-07-2019,524,74,38776,Maharashtra,Retail
886.54,59,Medium,23-02-2021,1,Milk,Mother Dairy,31.15,25.98,809.277,Polythene Packet,12-01-2021,13-01-2021,4,25.85,103.4,West Bengal,Online
717.14,19,Small,18-06-2021,3,Cheese,Passion Cheese,779.44,64.68,50414.1792,Refrigerated,30-04-2021,25-06-2021,26,68.73,1786.98,Kerala,Online
526.6,60,Large,25-07-2019,5,Ice Cream,Mother Dairy,641.05,77.61,49751.8905,Frozen,10-07-2019,08-08-2019,169,80.43,13592.67,Rajasthan,Online
702.38,52,Medium,27-11-2019,7,Lassi,Raj,282.29,51.3,14481.477,Refrigerated,06-11-2019,19-11-2019,174,52.25,9091.5,Telangana,Wholesale
795.38,25,Large,13-12-2019,7,Lassi,Mother Dairy,788.79,93.28,73578.3312,Refrigerated,01-11-2019,17-11-2019,767,92.87,71231.29,Uttar Pradesh,Wholesale
457.47,27,Medium,11-04-2021,7,Lassi,Sudha,742.42,29.74,22079.5708,Refrigerated,28-03-2021,14-04-2021,309,27.2,8404.8,Bihar,Wholesale
936.58,12,Medium,27-11-2022,2,Butter,Warana,353.52,95.27,33679.8504,Frozen,05-11-2022,05-12-2022,153,94.74,14495.22,West Bengal,Online
707.65,68,Medium,27-02-2020,9,Paneer,Mother Dairy,909.36,40.36,36701.7696,Refrigerated,11-01-2020,22-01-2020,433,35.69,15453.77,Chandigarh,Online
979.2,95,Small,20-11-2022,6,Curd,Sudha,923.74,98.45,90942.203,Refrigerated,17-10-2022,24-10-2022,682,101.84,69454.88,West Bengal,Retail
347.29,53,Small,09-08-2021,3,Cheese,Passion Cheese,389.72,41.7,16251.324,Refrigerated,01-07-2021,28-08-2021,327,41.18,13465.86,West Bengal,Wholesale
458.16,67,Large,17-02-2020,4,Yogurt,Dodla Dairy,145.38,52.5,7632.45,Frozen,09-02-2020,02-03-2020,144,50.28,7240.32,Karnataka,Online
